"filename", "language", "TypeScript", "Luau", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\atoms\inventoryAtoms.ts", "TypeScript", 4, 0, 0, 2, 2, 8
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\atoms\uiAtoms.ts", "TypeScript", 2, 0, 0, 0, 2, 4
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\components\boat.ts", "TypeScript", 221, 0, 0, 27, 54, 302
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\components\treasure.tsx", "TypeScript JSX", 0, 0, 58, 1, 13, 72
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\controllers\autoDigController.ts", "TypeScript", 308, 0, 0, 49, 68, 425
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\controllers\detectorController.ts", "TypeScript", 392, 0, 0, 37, 82, 511
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\controllers\gamepassController.ts", "TypeScript", 27, 0, 0, 3, 5, 35
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\controllers\levelUpController.ts", "TypeScript", 42, 0, 0, 1, 7, 50
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\controllers\promptController.ts", "TypeScript", 462, 0, 0, 14, 65, 541
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\controllers\questController.ts", "TypeScript", 223, 0, 0, 3, 26, 252
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\controllers\selfReport.ts", "TypeScript", 97, 0, 0, 9, 13, 119
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\controllers\shopController.ts", "TypeScript", 199, 0, 0, 2, 39, 240
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\controllers\shovelController.ts", "TypeScript", 965, 0, 0, 86, 176, 1227
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\controllers\treasureAnimationController.ts", "TypeScript", 37, 0, 0, 1, 6, 44
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\controllers\uiController.ts", "TypeScript", 461, 0, 0, 64, 51, 576
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\controllers\uiPreloading.ts", "TypeScript", 142, 0, 0, 3, 28, 173
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\controllers\zoneController.ts", "TypeScript", 221, 0, 0, 12, 22, 255
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\hooks\useMotion.ts", "TypeScript", 19, 0, 0, 1, 8, 28
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\hooks\usePx.ts", "TypeScript", 40, 0, 0, 19, 11, 70
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\network.ts", "TypeScript", 3, 0, 0, 1, 2, 6
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\reactComponents\boatShop.tsx", "TypeScript JSX", 0, 0, 757, 63, 52, 872
"c:\Users\jorde\OneDrive\Documents\GitHub\DiggingGame\src\client\reactComponents\boughtItemPopup.tsx", "TypeScript JSX", 0, 0, 137, 3, 19, 159
